cLabel,cDesc,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
GO:0045721,"negative regulation of gluconeogenesis",10,"CRY1, SOGA1, FAM3A, LEPR, MST1, ERFE, MAEA, PGP, C1QTNF12, C1QTNF3",-0.0875300169440818,0.000835211582619594,0.999648439914061,0.0001,0.2923
GO:0006298,"mismatch repair",12,"LIG1, HMGB1, RNASEH2A, TDG, PRKCG, POLD3, POLD4, ERCC1, PCNA, RPA2, MSH2, MUTYH",-0.0896944891859167,0.00123703299920924,0.999648439914061,0.0002,0.2923
GO:0043046,"DNA methylation involved in gamete generation",9,"PICK1, TDRD1, TDRKH, TDRD9, DNMT3A, PRMT7, KDM1B, PLD6, PIWIL4",-0.0804772531443857,0.00147931348486184,0.999648439914061,0.0001,0.2923
GO:0016973,"poly(A)+ mRNA export from nucleus",8,"HHEX, POLDIP3, THOC2, ENY2, DDX25, DDX19B, NXF1, SARNP",-0.0681870397091323,0.00153808298634351,0.999648439914061,0.0013,0.389733333333333
GO:0016233,"telomere capping",14,"MAPK3, PKIB, MAPK1, CTC1, TNKS2, ERCC4, DCLRE1C, RTEL1, STN1, ERCC1, TNKS, DCLRE1A, TERF1, MAP2K7",-0.0402382809674788,0.00176821509508577,0.999648439914061,0.0009,0.389733333333333
GO:0006284,"base-excision repair",25,"MUTYH, OGG1, FAM168A, DNA2, RPS3, RFC5, PARG, HMGB1, PRMT6, POLB, RFC1, PCNA, POLD4, NTHL1, NEIL1, APEX2, TDG, RFC3, SMUG1, LIG1, POLD3, TERF1, USP47, PARP1, RPA2",-0.0751907152462478,0.00178637896069336,0.999648439914061,0.0006,0.35076
GO:0006266,"DNA ligation",6,"POLB, PARP3, HMGB1, LIG1, XRCC4, MGMT",-0.111350580307848,0.00180355288068589,0.999648439914061,0.0012,0.389733333333333
GO:1900262,"regulation of DNA-directed DNA polymerase activity",6,"PCNA, GINS2, RFC5, RFC3, CHTF18, DSCC1",-0.106482093855988,0.00206744850613088,0.999648439914061,0.0004,0.35076
GO:1900264,"positive regulation of DNA-directed DNA polymerase activity",6,"GINS2, CHTF18, RFC5, PCNA, DSCC1, RFC3",-0.106482093855988,0.00206744850613088,0.999648439914061,0.0004,0.35076
GO:0006287,"base-excision repair, gap-filling",17,"NTHL1, SMUG1, RFC3, PARG, RPA2, PARP1, POLB, POLD4, OGG1, RFC1, LIG1, POLD3, TDG, MUTYH, NEIL1, RFC5, PCNA",-0.0808667441266735,0.0021326188497995,0.999648439914061,0.0006,0.35076
GO:1904353,"regulation of telomere capping",9,"MAP2K7, TNKS, PKIB, TNKS2, ERCC1, ERCC4, MAPK1, RTEL1, MAPK3",-0.0523550795184949,0.00236161400214296,0.999648439914061,0.0013,0.389733333333333
GO:0006271,"DNA strand elongation involved in DNA replication",10,"MCM7, PCNA, MCM3, LIG1, RNASEH2A, RFC3, GINS2, DNA2, RNASEH1, POLD3",-0.101420433955343,0.00293648623319106,0.999648439914061,0.0016,0.389733333333333
GO:0022616,"DNA strand elongation",10,"DNA2, LIG1, RFC3, GINS2, MCM7, RNASEH2A, PCNA, RNASEH1, POLD3, MCM3",-0.101420433955343,0.00293648623319106,0.999648439914061,0.0016,0.389733333333333
GO:0032070,"regulation of deoxyribonuclease activity",6,"SIRT1, PRKCD, HMGB1, DDX11, RPS3, PCNA",-0.075044208304395,0.00304824801476857,0.999648439914061,0.0017,0.397528
GO:0035510,"DNA dealkylation",8,"TOX, OTUD4, MGMT, ALKBH2, TDG, USP9X, TET1, ASCC3",-0.0979367180720689,0.00340374846744557,0.999648439914061,0.0002,0.2923
GO:0006379,"mRNA cleavage",11,"FIP1L1, CPSF7, CPSF6, CSTF2, CSTF2T, CSTF3, NUDT21, NCBP2, TUT1, CPSF1, POLR2I",-0.0536239369657712,0.00389938939025665,0.999648439914061,0.002,0.449692307692308
GO:0042766,"nucleosome mobilization",6,"ACTL6A, ACTR5, TFPT, CHRAC1, ARID1A, MCRS1",-0.0957837400296413,0.00390969935561844,0.999648439914061,0.0011,0.389733333333333
GO:0045910,"negative regulation of DNA recombination",24,"TP53BP1, POLR2E, MAD2L2, BLM, KLHL15, RTEL1, POLR2I, MSH2, DAXX, NDFIP1, PARP3, RIF1, ZRANB3, POLR2K, RMI2, HELB, POLR2L, POLR2J, SMCHD1, ATRX, POLR2G, THOC1, TERF1, POLR2H",-0.0546083529644245,0.00393529954886287,0.999648439914061,0.0006,0.35076
GO:0000731,"DNA synthesis involved in DNA repair",25,"NPLOC4, POLD3, VCP, SIRT1, RFC3, ISG15, PRIMPOL, RFC1, CDKN2D, REV3L, POLD4, ZBTB1, REV1, MAD2L2, USP10, RPA2, RCHY1, UBE2L6, UBA52, RPS27A, PCNA, SPRTN, RFC5, UFD1, FAAP20",-0.0679984869399639,0.00394504175702395,0.999648439914061,0.0006,0.35076
GO:0019985,"translesion synthesis",23,"RFC1, UBE2L6, NPLOC4, ZBTB1, UBA52, RCHY1, UFD1, VCP, POLD4, MAD2L2, REV3L, RFC3, USP10, FAAP20, SPRTN, RFC5, REV1, ISG15, POLD3, RPA2, PRIMPOL, PCNA, RPS27A",-0.0653195750568534,0.00442265180224112,0.999648439914061,0.001,0.389733333333333
GO:0010894,"negative regulation of steroid biosynthetic process",12,"SOD1, DKK3, INSIG2, PROX1, WNT4, ATP1A1, SNAI1, APOE, NR0B1, SNAI2, NFKB1, ERLIN1",-0.0624793298394844,0.0050574083040642,0.999648439914061,0.0009,0.389733333333333
GO:0045939,"negative regulation of steroid metabolic process",12,"PROX1, WNT4, APOE, SNAI2, ATP1A1, INSIG2, SNAI1, ERLIN1, NFKB1, DKK3, SOD1, NR0B1",-0.0624793298394844,0.0050574083040642,0.999648439914061,0.0009,0.389733333333333
GO:0051290,"protein heterotetramerization",9,"CPSF6, FARSB, HSD17B8, PKD1, FARSA, PKD2, GRIN2B, NUDT21, CPSF7",-0.0593643774211064,0.00514236091999923,0.999648439914061,0.0022,0.459328571428571
GO:0043174,"nucleoside salvage",10,"UPP1, ADK, PNP, UPP2, PUDP, TYMP, TK1, APRT, UCK2, MTAP",-0.0743678570913593,0.00517766594897121,0.999648439914061,0.0037,0.634708571428571
GO:0006297,"nucleotide-excision repair, DNA gap filling",10,"POLD4, LIG1, RFC5, RPA2, PCNA, POLD3, UBA52, RFC1, RFC3, RPS27A",-0.0902240546997436,0.00553872158143715,0.999648439914061,0.0012,0.389733333333333
GO:0071712,"ER-associated misfolded protein catabolic process",6,"DERL1, NGLY1, SDF2L1, VCP, POMT2, UFD1",-0.0908068693249935,0.00614591470822159,0.999648439914061,0.0016,0.389733333333333
GO:0006301,"postreplication repair",29,"SPRTN, WDR33, RFC5, RPA2, UFD1, RFC1, PRIMPOL, UBE2A, ISG15, VCP, MAD2L2, NSMCE1, USP10, ZBTB1, REV1, MSH2, RFC3, REV3L, POLD3, RCHY1, POLD4, PCNA, RPS27A, UBA52, NPLOC4, FAAP20, UBE2B, UBE2L6, BRCA1",-0.0541343463641983,0.00664959690334864,0.999648439914061,0.0029,0.565113333333333
GO:0042276,"error-prone translesion synthesis",12,"REV1, UBA52, RFC1, POLD3, RPA2, RFC5, PCNA, RFC3, RPS27A, REV3L, PRIMPOL, MAD2L2",-0.088229657386712,0.00717206948018758,0.999648439914061,0.0022,0.459328571428571
GO:0033866,"nucleoside bisphosphate biosynthetic process",7,"PPCDC, PAPSS1, COASY, PPCS, PANK3, PAPSS2, PANK1",-0.0501846127496653,0.00729283860841526,0.999648439914061,0.0057,0.708982978723404
GO:0034030,"ribonucleoside bisphosphate biosynthetic process",7,"PPCS, PPCDC, COASY, PANK3, PANK1, PAPSS2, PAPSS1",-0.0501846127496653,0.00729283860841526,0.999648439914061,0.0057,0.708982978723404
GO:0034033,"purine nucleoside bisphosphate biosynthetic process",7,"PAPSS2, PAPSS1, PANK3, PPCDC, PPCS, PANK1, COASY",-0.0501846127496653,0.00729283860841526,0.999648439914061,0.0057,0.708982978723404
GO:0032196,"transposition",8,"SIRT7, TDRD9, SPOCD1, ZNF91, MYBL1, PGBD5, PIWIL4, UBR2",-0.0393445993183976,0.00772230706319023,0.999648439914061,0.0057,0.708982978723404
GO:0045717,"negative regulation of fatty acid biosynthetic process",8,"BRCA1, INSIG2, ERLIN1, SIRT1, PIBF1, ACADL, TRIB3, APOC1",-0.0739115656359816,0.00817618103335724,0.999648439914061,0.0015,0.389733333333333
GO:0042362,"fat-soluble vitamin biosynthetic process",7,"IL1B, TNF, CYP27A1, PLTP, SNAI1, NFKB1, SNAI2",-0.0431966151825049,0.00923750831248412,0.999648439914061,0.0101,0.903472727272727
GO:0006488,"dolichol-linked oligosaccharide biosynthetic process",9,"NUS1, ALG10B, DHDDS, MPDU1, ALG2, MVD, ALG8, ALG3, SRD5A3",-0.0830383756075598,0.00950749554219164,0.999648439914061,0.0041,0.646136842105263
GO:0006490,"oligosaccharide-lipid intermediate biosynthetic process",9,"ALG8, ALG3, MVD, ALG2, ALG10B, NUS1, DHDDS, MPDU1, SRD5A3",-0.0830383756075598,0.00950749554219164,0.999648439914061,0.0041,0.646136842105263
GO:2000480,"negative regulation of cAMP-dependent protein kinase activity",7,"PKIG, PKIA, PKIB, PPP1R1B, PRKAG2, SIRT1, PRKAR2A",-0.0829208440271481,0.00973252147307869,0.999648439914061,0.0055,0.708982978723404
GO:0051132,"NK T cell activation",6,"HSPH1, IL15, TYK2, JAK2, RASAL3, ZBTB7B",-0.0559088268929543,0.00989423851329617,0.999648439914061,0.0104,0.907438805970149
GO:0045342,"MHC class II biosynthetic process",7,"TMEM106A, TLR4, XBP1, SIRT1, IL33, HDAC2, JAK2",-0.078667038860469,0.00996230984114836,0.999648439914061,0.0054,0.708982978723404
GO:0045346,"regulation of MHC class II biosynthetic process",7,"IL33, HDAC2, XBP1, TMEM106A, TLR4, JAK2, SIRT1",-0.078667038860469,0.00996230984114836,0.999648439914061,0.0054,0.708982978723404
GO:1904355,"positive regulation of telomere capping",7,"TNKS2, PKIB, MAPK3, MAP2K7, RTEL1, MAPK1, TNKS",-0.065905631583228,0.0100748819112264,0.999648439914061,0.0051,0.708982978723404
GO:0001325,"formation of extrachromosomal circular DNA",6,"RTEL1, TERF1, DNA2, SLX4, BLM, ERCC1",-0.0933545653179955,0.0106285460050232,0.999648439914061,0.0065,0.716962264150943
GO:0090656,"t-circle formation",6,"BLM, SLX4, ERCC1, TERF1, DNA2, RTEL1",-0.0933545653179955,0.0106285460050232,0.999648439914061,0.0065,0.716962264150943
GO:0090737,"telomere maintenance via telomere trimming",6,"TERF1, RTEL1, BLM, SLX4, DNA2, ERCC1",-0.0933545653179955,0.0106285460050232,0.999648439914061,0.0065,0.716962264150943
GO:0006285,"base-excision repair, AP site formation",7,"TERF1, OGG1, SMUG1, NTHL1, NEIL1, TDG, MUTYH",-0.0610958412857526,0.0107081747441728,0.999648439914061,0.0038,0.634708571428571
GO:0070987,"error-free translesion synthesis",13,"SPRTN, RFC5, REV1, RCHY1, RFC3, RFC1, RPS27A, NPLOC4, PCNA, RPA2, UFD1, UBA52, VCP",-0.0802599454881715,0.0107098788346672,0.999648439914061,0.0034,0.602315151515151
GO:0070914,"UV-damage excision repair",8,"SIRT1, POLD3, ACTR5, MC1R, CUL4B, DDB2, DDB1, ERCC1",-0.068657120397075,0.0108760793256583,0.999648439914061,0.0152,0.974333333333333
GO:0045348,"positive regulation of MHC class II biosynthetic process",6,"SIRT1, JAK2, TLR4, XBP1, TMEM106A, IL33",-0.0680472174508737,0.010896848145446,0.999648439914061,0.0071,0.754665454545455
GO:0007141,"male meiosis I",8,"ING2, UBR2, RAD51C, DMRTC2, REC8, TDRD9, CCNA1, MYBL1",-0.0611855710305686,0.0109991181680211,0.999648439914061,0.0085,0.828183333333333
