cLabel,cDesc,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
GO:1990124,"messenger ribonucleoprotein complex",8,"CPEB2, PKP3, HNRNPA3, CPEB4, STAU2, YBX1, CPEB1, CPEB3",0.0841180991387322,0.000557311527510485,0.318053154647745,0.0001,0.0254666666666667
GO:0005845,"mRNA cap binding complex",5,"CYFIP1, EIF4E2, EIF4E1B, RNMT, NCBP2",0.158378776330387,0.00124889982191523,0.318053154647745,0,0
GO:0034518,"RNA cap binding complex",5,"EIF4E2, EIF4E1B, CYFIP1, NCBP2, RNMT",0.158378776330387,0.00124889982191523,0.318053154647745,0,0
GO:0016234,"inclusion body",36,"NXF1, WDFY3, RANBP2, AGL, MT3, CARD14, FGR, ATXN1, PRNP, PINK1, NEFH, KLF8, TRIM37, CLU, BAG5, HSPA1A, BAG3, SFMBT2, NEFM, DVL2, EEF2, EDEM1, HERPUD1, HSP90AB1, SNCA, LRRK2, PRDM16, STUB1, ATXN3, ATF4, ARIH1, KEAP1, SNCB, TDP2, TPR, SLF1",0.0746421875693095,0.00184193577372005,0.328739905534469,0.0006,0.0764
GO:0046930,"pore complex",11,"PPIF, SLC25A4, BAK1, PLEKHA7, AFDN, BCL2, TOMM40L, TSPAN33, TOMM40, PDZD11, SLC25A5",0.0941387848828083,0.00217621909206989,0.328739905534469,0.0002,0.0382
GO:0000235,"astral microtubule",6,"MAP9, DYNLT3, PAFAH1B1, FAM161A, NUMA1, MAPRE1",0.0720621941226701,0.00333779021408165,0.328739905534469,0.0007,0.0764
GO:0005818,"aster",6,"MAP9, DYNLT3, MAPRE1, FAM161A, PAFAH1B1, NUMA1",0.0720621941226701,0.00333779021408165,0.328739905534469,0.0007,0.0764
GO:0097440,"apical dendrite",10,"OSBP2, CPEB3, SEZ6, PPARGC1A, MYO1D, MAP1B, SLC17A8, NSMF, NEURL1, CLU",0.0598870410222201,0.00431925409126588,0.328739905534469,0.001,0.0848888888888889
GO:0016235,"aggresome",12,"EEF2, SFMBT2, HSPA1A, TDP2, CARD14, FGR, TRIM37, KLF8, PRDM16, EDEM1, DVL2, BAG3",0.0675344169604824,0.00434920324345556,0.328739905534469,0.0009,0.0848888888888889
GO:0031094,"platelet dense tubular network",5,"ATP2A2, EHD1, ITPR1, ITPR2, ITPR3",0.134762091831058,0.0047331661791612,0.328739905534469,0.0026,0.165533333333333
