cLabel,cID,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
In6a,16,157,"CNTN5, DPP10, ZNF385D, CA8, ALK, SDK1, THSD7A, CRH, PVALB, CNTNAP2, TMEM132D, LHFPL3, HPSE2, LRRC4C, TRPS1, VWC2, PLCXD3, SPARCL1, MYO16, ANK1, RORA, FRMPD4, TMEM132C, DNER, DLGAP1, GRIA1, GABRG3, FGF13, FSTL5, TMTC1, GULP1, TENM4, KIAA1211, FAM19A2, SNHG14, CALN1, SGCD, MEF2C, KCNC2, TOX, TENM1, ADCY8, SCG2, RASGRF2, SRGAP1, COL11A1, GRIP1, CNTNAP5, RYR1, FGF12, PTCHD4, ATP1B1, TIAM1, TENM2, HCN1, GABRD, EDIL3, CPLX1, ADGRB3, SYT1, DAB1, FMN1, CADPS, DOK5, SLC24A3, PARM1, PPM1E, NRG3, ASTN2, HS6ST3, OSBPL6, KCNQ5, NCALD, CSMD3, DLGAP2, PCLO, SHANK2, OSBPL3, BTBD11, KCNC1, NEAT1, KLHL5, MAST4, ATP1A3, GRM5, CDH12, GNAL, C8orf34, TMEM132B, CNTN4, PLXNA4, MGAT4C, FUT9, KCNMB4, GRIN2B, CTTNBP2, GABRA1, SPOCK2, SNTG1, SCN1A, ADCY1, SLC2A13, RNF175, ATRNL1, GAD1, UNC5D, LRRC8B, PKNOX2, ELMOD1, DGKB, SUSD4, NDRG4, SIPA1L1, SEZ6L, KIAA1107, LUZP2, OIP5-AS1, KCNH1, SLC35F1, RIMBP2, LANCL1, CAMTA1, GOT1, SLC38A1, GABRB2, NSF, SETBP1, GPR155, PRICKLE2, SPAG16, KIFAP3, ABLIM2, SCAMP5, GRID1, SYP, BLCAP, CCDC91, RAB3C, CACNG2, EPHA5, FAM168A, PLEKHA1, MAP2, ANKRD26, TPST1, GABBR1, SLC25A12, ANKS1A, EPB41L3, DENND5B, USP11, TENM3, GRIA3, SCN8A, SHISA9, ATP1A1, CIT",0.150399694001817,6.20902977547244e-05,0.00155225744386811,0,0
Endo,20,52,"ABCG2, ADGRF5, ADIRF, ARHGAP29, ARL15, ATP10A, B2M, CALD1, CAVIN1, CLDN5, COBLL1, DCN, DLC1, DOCK9, DUSP1, ESAM, FLT1, GALNT18, GNG11, GPCPD1, HIGD1B, HLA-B, IFI27, ITIH5, ITM2A, KLF2, LEF1, MECOM, MYRIP, NEAT1, NFIA, NR3C2, PCCA, PLCB4, PPFIBP1, PTPRB, PTPRG, PTPRK, PTPRM, RGS5, RPL41, RUNDC3B, SLC2A1, SLC38A5, SLC39A10, SPARCL1, ST6GAL1, TACC1, TAGLN2, TMEM204, TMSB10, UTRN",0.20875869240522,0.000144089425331728,0.0018011178166466,0,0
In6b,17,180,"DPP10, BTBD11, NXPH1, GAD1, KCNC2, TAC1, TMEM132C, KIAA1217, PTPRM, GAD2, CNTNAP2, ZNF385D, FGF12, DLGAP1, SDK1, SPARCL1, MYO16, PVALB, VWC2, GRIP1, TENM3, SNHG14, ANK1, CNTN5, KLHL5, KAZN, TENM1, ZMAT4, CPLX1, EPHA6, CADPS, RPS6KA2, KLF12, RASGRF2, TENM2, LRRTM4, SERPINI1, MEF2C, KIF26B, ATRNL1, CEMIP, ALK, GRIK3, DGKD, LRP8, PPARGC1A, SLC44A5, KCNC1, GABRG3, XKR4, PTCHD4, PLCXD3, SAT1, FAM19A2, ASTN2, GNAL, PLXNA4, HCN1, OXR1, NEAT1, PRKG1, LRRFIP1, LANCL1, TMEM108, ATP1B1, DNER, ENOX1, PPIP5K2, TRPC5, ADCY8, RBFOX1, TIMP2, HS6ST3, SHISA9, GRM5, ROBO2, LRRC4C, GABRB2, OSBPL3, NRG3, SYN2, GRM8, CORO6, FAR2, MAGI1, KHDRBS2, GOT1, RAB3C, UPP1, GRIN2B, EFR3B, SNTG1, FMN1, FGF13, SLC35F1, ADCY1, FRAS1, SRRM4, CLIP4, SCN1A, LUZP2, SPAG16, CNTNAP5, ANKS1A, ERC2, FHOD3, NDST3, ARNT2, NDRG4, GABRA1, TTBK2, ESRRG, CACNB4, SETBP1, ARL4C, LPCAT4, CLEC16A, PTPRS, MAN1A2, UNC5D, SLC38A1, CCDC136, CAMTA1, MAP2, MAP1A, OSBPL6, NTRK2, MMP16, LUZP1, FAM135B, TMEM132B, ATP1A3, GNAS, ST8SIA1, PTPRE, NCALD, RASAL2, BEND6, SCAMP5, FAM189A1, MDH1, SLC6A17, MAST4, TRIO, BACH2, AEBP2, NMNAT2, OIP5-AS1, EVL, RNF157, AAK1, MAP7D2, OSBPL8, SLC4A8, NDUFA4, RAPGEF4, NSF, SRRM3, DYNLL2, PPM1E, SPIN1, KCNT1, SHANK2, TSC22D1, PRICKLE2, MAP9, LRRC8B, CDH9, COX4I1, ATP6V1B2, ST6GALNAC5, CALM3, SCN8A, DLGAP2, SLC25A12, MARK1, INPP5F, BLCAP, PACRG, TMEM130",0.201152620345786,0.000262555861601843,0.00218796551334869,0,0
Ex6a,6,190,"HTR2C, ASIC2, TSHZ2, ROBO3, DPP10, ITGA8, ZNF385D, PCP4, CRYM, TMEM155, LRP1B, LHFPL3, KCNT2, SEMA5B, GRM8, SORCS2, OLFM3, PRR16, TLE4, GRIP1, TLL1, FGFR1, TRHDE, CHRM2, CPNE4, LUZP2, ANKRD20A5P, BCL11B, GHR, SEMA3E, CNTNAP2, CDH8, DAB1, KCNB2, COL11A1, TOX, SLC24A2, MYRIP, RYR2, NLGN1, VWC2L, MAPK10, DPY19L1, SNTG1, DSCAM, NRG3, FOXP2, DCLK1, GRIN3A, CLSTN2, ERC2, KIAA1217, LDB2, PTPRD, CDH13, ZNF385B, KHDRBS2, RALGPS2, ALCAM, ADAMTS19, NKAIN2, MGAT4C, DLC1, ADCY2, PDZRN4, RANBP17, PCDH17, CSMD3, GALNT14, KCTD8, GRM5, SYT1, STXBP6, LMO7, GABRG3, GRM3, LRRTM3, CHSY3, CORO6, DCC, FARP1, UST, TRPM2, MEIS2, PLXNA4, DOCK4, SGCD, EML6, SLC44A5, DIP2A, KIAA0319, KLHL5, BACH2, STRBP, CAMK2D, ITM2C, TMEM232, DPY19L2P1, FRAS1, CELF2, ZNF704, MAP1B, CHN1, HS6ST3, MAGI3, SDK1, SCN3B, CADPS, PCDH11Y, PTPRR, NELL2, SLC24A3, FRMD4A, ASTN2, LINGO2, KCNH7, NELL1, SLC35F3, GRIN2B, RPH3A, HERC1, CERS6, KCNQ3, XKR6, SLC35F1, GRIN2A, PAK3, SOX5, OXR1, ST6GALNAC5, EVL, HIVEP2, SNCA, GPR158, LRRC4C, TLN2, LRRC7, AEBP2, FMN2, ELAVL4, NEGR1, MACROD2, BCL11A, PRICKLE1, CAP2, IDS, RNF144A, CACNB4, SCN8A, FRMPD4, EPHA5, RPS6KC1, CDK14, SV2B, HDAC9, CHL1, MARK1, SORL1, PLEKHA5, PGM2L1, EFR3A, SETBP1, FAM189A1, SORBS2, SLC8A1, TUBA1B, TPST1, ARHGAP44, CACNA1B, HCN1, BRAF, BASP1, ZFYVE28, SPAG16, NDFIP1, ZBTB16, SUSD4, RAPGEF4, PTPRT, FAM49A, IQSEC1, UCHL1, KIFAP3, MYO5A, SRRM3, EPB41L3, GABRA1, ASAP1, CACNG3, SHISA9",0.10090949057363,0.00293245171950651,0.0183278232469157,0.00048,0.00233333333333333
In3,13,145,"THSD7A, CNTNAP2, CXCL14, RGS12, SYNPR, ROBO2, CSMD1, SLC24A3, ROBO1, SHISA8, HTR1E, SDK1, PLCE1, L3MBTL4, KCNT2, CDH13, NR2F2-AS1, GRM7, SNHG14, RERG, PROX1, ZMAT4, FRMD4A, SEZ6, LRRC4C, COL21A1, C8orf34, CNTN4, RYR3, PLXNA4, ADRA1A, ARL4C, DSCAM, MTUS2, GAD1, BTBD11, TSHZ2, MYRIP, NLGN1, LINGO2, SLC44A5, DAB1, LSAMP, NKAIN3, NRG3, CHRM3, GRIK2, CIT, SEZ6L, OLFM3, ANK1, SCG2, CLVS1, SNTG1, CALN1, KCNH7, DCC, RARB, CNTN3, B4GALT6, TTC28, SOBP, REV3L, KAZN, PTPRO, AK5, GALNT13, STARD13, KLF12, DNER, PTPRE, PCDH7, SRRM4, ATP1B1, TENM3, GNAL, SUSD4, FHOD3, SLC25A12, GABRG3, GNAS, NCALD, MAN1A2, CSMD3, OSBPL3, CACNA1C, TMEM132B, FRMPD4, KCNC2, PPM1E, CCSER1, SORCS3, GPHN, GRIP1, ADCY2, NCAM1, NTRK3, PRICKLE2, EXT1, HDAC9, BICD1, KCNIP4, PDE7B, ANKH, ATP1A3, GABRB2, GRIN2B, ZBTB16, MAP2, NEDD4L, PLEKHA5, THRB, AHI1, CORO6, TSPYL2, CAMTA1, GABRA1, TMEM108, RPS6KA2, NR3C2, DCLK1, SCAMP5, SLC2A13, INPP5F, PAK3, RANBP17, TFDP2, ANKRD26, REEP5, NMNAT2, ANKRD12, ARHGAP44, OSBPL1A, FNDC3A, USP11, RGS6, IDS, CDH10, OIP5-AS1, PCDH11X, SPTBN4, PTPN4, CERS6, KIRREL3, SERINC1",0.0896024468961088,0.0048934500122898,0.0217066775234277,0.0001,0.000625
Ex4,4,238,"TSHZ2, RORB, IL1RAPL2, DCC, SLC22A10, POU6F2, FOXP2, LMO4, TOX, OLFM1, KHDRBS2, PTPRD, CNTN5, FAM19A2, NRGN, SLC38A11, SYT1, TRHDE, RARB, FSTL4, LDB2, SNTG1, TENM2, UNC5D, CHN1, SLC17A7, SORCS1, CPNE4, SLC44A5, KCNH5, MEF2C, SPARCL1, GABRG3, GRM7, CCK, NELL2, RHOBTB2, IPCEF1, SNAP25, KALRN, EPHA4, NUAK1, PTPRT, ATRNL1, LINGO2, STMN1, STXBP1, CTNNA2, TUBA1B, NRG1, LRFN5, ATP2B2, FOXP1, PRKCB, TSHZ3, BASP1, MAGI3, CREG2, PCLO, PPP3CA, CAMK2A, ADGRL2, KCNQ5, INPP4B, PDP1, PLCXD3, EFNA5, CHGA, ITPK1, NRG3, GRIN2A, NCDN, KCNQ3, DCLK1, HECW1, PPFIBP1, ANKS1B, NEGR1, FBXW7, KIAA0319, SYTL2, SATB2, PIK3R1, BRINP1, CELF2, R3HDM1, SV2B, CAP2, SCN1B, KCNH1, SORL1, YWHAB, VSNL1, PARM1, BRINP3, NCALD, TOLLIP, CSMD3, CAMK1D, RGS4, GCC2, NELL1, CCNI, PDE10A, SLC8A1, FMN1, CABP1, CALM1, NTNG1, MICAL2, ZMAT4, CTNNB1, MLIP, RIMS3, TSC22D1, CALM3, CHSY3, NEFL, CDK14, NDRG4, ZNF385B, ZNF365, LINGO1, CA11, RGS7, KIAA1549L, MKL2, UCHL1, DGKI, ELAVL4, YWHAG, FLRT2, CNKSR2, KCNB1, TSPYL1, PREPL, SLIT1, DPY19L2P1, EPHB6, HIVEP2, VPS41, IDS, MAN1A2, SCN3A, THRB, HERC1, BEX1, SEMA6D, KCND3, MIR124-2HG, OLFM3, SPATS2L, PHYHIP, PRNP, CACNB4, CAMK2N1, CDH10, RTN3, KIF5C, ZMYND8, SLC6A7, SCN1A, SNCA, GABRA1, PCDH11X, REEP5, CSRNP3, SERPINI1, RAPGEF2, YWHAH, TAGLN3, NPTXR, HSPH1, GLCCI1, SYN2, APBA2, NWD2, PTPN5, PRDM2, NPTX1, GNAS, BSN, MIAT, ADAM23, KCNB2, EIF1, OIP5-AS1, STOX2, NR2F1-AS1, CHD5, GABRG2, PKNOX2, OSBPL6, GABRB3, RASAL2, ARHGAP32, PTPRO, ZBTB16, SEPT8, RPL31, SPAG16, MDH1, RPS14, TPI1, BCL11A, GAP43, ATP1A1, ATP6V1B2, PDZRN4, CDKL5, KIFC2, PDZRN3, TMSB10, BEX2, FAIM2, SCAI, SIRPA, UQCRH, SLC12A5, CAMKV, RUNDC3A, NDUFA4, TRIM37, CACNG8, GUCY1A2, THY1, TSPYL4, PLXNA4, INPP5F, ELMOD1, KCNQ2, EPHA5, FAM189A1, RAB6B, NAPB, KCNT1, GNB5, PRICKLE1",0.18613387531184,0.00520960260562264,0.0217066775234277,0.00056,0.00233333333333333
Per,21,37,"DLC1, ITIH5, SLC19A1, SLC6A12, LAMA2, COLEC12, DCN, HIGD1B, COBLL1, CALD1, UTRN, SLC20A2, NR2F2-AS1, MYO1B, GRM8, SLC38A11, PARD3, B2M, PRKG1, PTN, PDE7B, ARHGAP29, GPC5, RORA, PTPRK, GRM3, PTPRG, PPFIBP1, TACC1, NEAT1, KIAA1109, PDZD2, TTC17, NTRK3, LPP, INPP4B, NFIA",0.0540909604305618,0.00865330362454519,0.0309046558019471,0.01702,0.0531875
Ex2,2,185,"KCNIP4, CNTNAP2, PTPRD, COL5A2, DPP10, FAM19A1, PTPRT, LRRTM4, LDB2, KHDRBS2, UNC5D, ST6GALNAC5, SNTG1, GRM7, ADGRB3, DCC, CSMD1, PTPRK, RGS7, LRRC4C, DLG2, KCNB2, SYT1, TRHDE, LAMA2, KCNH7, HS6ST3, NTNG1, LINGO2, KCNQ5, NRG3, MGAT4C, R3HDM1, ATRNL1, ANO3, CNTN3, NKAIN2, STXBP5L, POU6F2, MKL2, CA10, NRG1, RORB, NEGR1, CDH8, CELF2, CNTN5, NELL2, THRB, CPNE4, DGKB, NDST3, TENM2, KCNH5, KALRN, RGS6, RIMS2, CHSY3, LRRC7, MARCH1, CHN1, KCNQ3, FRMD4A, FLRT2, PLCB1, CHRM3, GABRB1, GULP1, KCNH1, NECAB1, GABRG3, DSCAM, TMEM132D, MEF2C, RYR2, RFX3, CACNA2D3, GRIN2A, GRM5, FTH1, CBLN2, CDH10, BRINP3, FMN1, SGCD, LRFN5, HECW1, XYLT1, ERC2, DCLK1, SLC39A10, OXR1, SEMA6D, LY86-AS1, AK5, RASAL2, MAPK10, GUCY1A2, CUX2, KCNT2, FBXL2, TMEM232, EPHA4, HOMER1, EFNA5, NRCAM, PPFIA2, GABRB3, ARHGAP32, PDE10A, TESPA1, SLC44A5, OLFM3, CERS6, MLIP, SLC2A13, CHL1, DGKI, ARL15, ZNF385B, CACNA1B, PRKG1, KCTD16, PEX5L, LMO4, MAST4, CSMD3, CACNA1C, ARHGAP26, PIK3R1, NEFM, YWHAH, TMEM178B, TMSB10, SORBS2, GAP43, TMEM108, ASAP1, RUNDC3B, CCSER1, GRIN2B, KIAA1211L, RAPGEF5, SYN2, MCF2L2, PAK3, PAK1, SOX5, CLSTN2, SCN3A, CAMK1D, DLGAP2, NOL4, NR2F1-AS1, CREG2, CACNG3, CDK14, CDH2, LRRTM3, TMEM132B, DPY19L2P1, MYH10, ADCY1, SERPINI1, MIAT, PI4KA, BRINP2, CEP126, UCHL1, SLC35F3, MED12L, ATXN1, MARK1, GOLGA8A, SATB2, NTRK3, NEFL, FSTL4, HCN1, AEBP2, KCTD1, PRICKLE2, CELF5, SCN8A, CEP112",0.124903760314677,0.0121002907753048,0.0378134086728276,0.00716,0.0255714285714286
Oligo,23,81,"AGAP1, AK5, ALCAM, ANK3, ANKRD12, ARAP2, ATP8A1, BCAS1, CACNA2D1, CARNS1, CDC42BPA, CDK18, CLDND1, CLMN, CNDP1, CNTN2, COL4A5, CRYAB, CTNNA3, DIP2B, DLC1, DLG1, DLG2, DNM3, DPYD, DPYSL2, DSCAML1, DTNB, EDIL3, ENPP2, FA2H, FRMD5, FRYL, GPM6B, GRM3, KIRREL3, KMT2E, MAG, MAN2A1, MBP, MOBP, MOG, MYO1D, NCAM2, NEAT1, NKAIN2, NLK, PCSK6, PDE1A, PDE4B, PEX5L, PHIP, PIP4K2A, PLCL1, PLP1, PLXDC2, PPP1R9A, PPP2R2B, PRUNE2, PTBP2, PTPRK, PXK, QDPR, RBM25, RERE, RNF130, RNF220, SH3GL3, SLAIN1, SLC24A2, SLC5A11, SLCO3A1, SORT1, TF, TMEFF2, TMEM165, TRIM2, UBE2E2, UGT8, WDPCP, ZDHHC20",0.0884319980780779,0.0482782726834224,0.134106313009507,0.04778,0.132722222222222
Ex5b,5,196,"LRP1B, CTNNA2, KCNIP4, PTPRD, RXFP1, DPP10, SYT1, PDZRN4, NRG1, CLSTN2, KCNQ5, HS3ST2, IL1RAPL2, RYR2, KCNH7, LDB2, PEX5L, POU6F2, STXBP5L, CSMD1, KALRN, KHDRBS2, TMSB10, FSTL4, CCSER1, NKAIN2, NRG3, ATRNL1, SLIT1, NELL2, CPNE4, DSCAM, RBFOX1, PART1, FOXP2, SLC35F3, LRRC7, CHSY3, SV2B, SLC35F1, TENM4, NELL1, SORCS1, CHN1, CELF2, SLC17A7, CDH12, TMEM132D, CABP1, KCNB2, PTPRK, LY86-AS1, HS3ST5, LRFN5, NRCAM, R3HDM1, EFNA5, DMD, SYN2, NECAB1, CHRM3, PCDH7, ENC1, ERC2, FRMD4A, CCK, FBXW7, THRB, NCAM2, ADGRL2, NRGN, NETO1, MKL2, MMP16, RGS6, GABRG3, GRIA1, FMN1, MCTP1, SLC39A11, PRKD1, KCNQ3, GAP43, PRKCB, GABRB3, SOX5, ST6GALNAC5, GRM5, OXR1, HECW1, KCNT2, DCLK1, KCNMB4, CSGALNACT1, RASAL2, ZNF385B, LMO4, AK5, HTR1E, ANKS1B, SNCA, CELF4, RAPGEF4, GRIA3, CACNA2D3, SCN3B, CCDC3, SATB2, KIAA1211L, ATP2B1, VSNL1, CDH10, CDK14, PDE1A, SNTG1, CSMD3, NAV3, FRMPD4, CREG2, CACNA1B, FOXP1, EPHB6, UCHL1, NGEF, EML6, PTPRT, PPFIBP1, PRICKLE1, CACNA1C, CAMK1D, KCNH1, PPP3CA, MAPK10, PID1, TRIM9, NCALD, CNTN3, BRINP3, NUAK1, MAP2, DGKI, DOK6, EPHA5, SCN3A, NPAS2, DLGAP2, SLC39A10, MAST3, APBA2, PI4KA, ARHGAP26, PACRG, PRKAG2, SLIT3, HOMER1, NPTX1, MAGI3, SHISA9, NWD2, EXT1, ARL15, WASF1, ITPR1, BCL11A, CACNG3, CHD5, SEPT11, MLIP, MICAL2, FMN2, BASP1, RGS4, KCTD16, TUBA1B, LMO3, SERPINI1, PRICKLE2, KIAA1549L, DCC, NEFL, VPS41, ADAM23, SHC3, FBXL2, KCTD1, TOX, WDR17, FOCAD, MIR124-2HG, ELAVL4, MIAT, ST8SIA5, BSN, YWHAH, GUCY1A2, TESPA1",0.0902766950711583,0.0620118623875829,0.155029655968957,0.06882,0.156409090909091
