cLabel,cDesc,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
GO:0007602,"phototransduction",12,"GPR88, SLC24A4, OPN3, PLEKHB1, TRPC3, GPR52, RHO, OPN4, CNGB1, CDS1, ASIC2, SLC24A2",0.105139744349195,1.12607611715276e-05,0.0114461797246784,0,0
GO:0022409,"positive regulation of cell-cell adhesion",5,"LEF1, KIF26B, CITED2, AFDN, MAGI1",0.264042360632387,1.14490645932719e-05,0.0114461797246784,0,0
GO:0045860,"positive regulation of protein kinase activity",28,"AGAP2, DAXX, TNF, LRRK2, RELN, RASSF2, NRG1, RAPGEF2, IQGAP1, GAS6, CDK5, PTPRC, LCP2, CARTPT, LAT, VEGFC, MAP2K3, SNX9, DAB1, VLDLR, MMD, CACUL1, MRNIP, ADCYAP1, CAMKK1, PRKAG2, MAP3K5, PPP1R9A",0.0948123170691078,1.67766971018724e-05,0.0114461797246784,0,0
GO:0030155,"regulation of cell adhesion",28,"NUAK1, YTHDF2, GSN, LAMA3, TNC, LAMA4, PLAU, PKD1, ROCK1, S1PR1, PTPRJ, ROCK2, CYTH1, GPR4, LMO7, FES, LAMA2, CXCR4, EMCN, PPP1R12A, SERPINI2, PPP1CB, LAMA1, RET, SRF, PLAUR, SERPINI1, JAG2",0.206594815383435,3.30867652372779e-05,0.0114461797246784,0,0
GO:0001568,"blood vessel development",19,"COL1A2, COL5A1, EGFL7, APLNR, RAPGEF1, FLVCR1, MEF2C, RAPGEF2, MAP3K3, AHR, LAMA4, SPHK2, TCF7L2, PAX6, FOXC1, SPHK1, FOXO1, FOXF1, TBX1",0.1727261420933,3.32812972501095e-05,0.0114461797246784,0,0
GO:0006810,"transport",13,"ALB, SLC25A12, TMEM184C, SLC25A13, CNNM4, TMEM87B, SLC25A22, MFSD8, SLC25A18, GPR108, TMEM184B, CNNM1, CNNM2",0.135942880563501,4.22756302542737e-05,0.0114461797246784,0,0
GO:0045010,"actin nucleation",8,"FMN2, SCIN, EVL, VILL, FMN1, ARPC4, GSN, SPIRE2",0.220250770383364,4.94393277941096e-05,0.0114461797246784,0,0
GO:0001706,"endoderm formation",5,"DUSP2, SOX17, SMAD2, DUSP1, DUSP4",0.224885387720968,5.48795070750563e-05,0.0114461797246784,2e-05,0.000313917525773196
GO:0014824,"artery smooth muscle contraction",6,"EDNRA, HTR2A, GRIP2, CD38, EDN1, MKKS",0.302161869943203,5.6904579137651e-05,0.0114461797246784,0,0
GO:0008219,"cell death",21,"GSDME, SNCAIP, CIDEA, MAP3K20, VAPA, EMP3, FOSL2, SUSD6, OPTN, OLR1, BNIP3, EIF4G2, HTR2A, HMOX1, BRINP1, BCL10, EMP2, EMP1, CACNA1A, PTGER3, CDKN1B",0.201226087989215,6.40095752951764e-05,0.0114461797246784,0,0
GO:1900025,"negative regulation of substrate adhesion-dependent cell spreading",6,"SPRY4, MELTF, ITGB1BP1, EFNA5, ACTN4, RCC2",0.468458139166961,6.54630303291714e-05,0.0114461797246784,0,0
GO:0035725,"sodium ion transmembrane transport",50,"ASIC2, SHROOM2, CACNA1H, TPCN1, CACNA1I, TRPM2, ASIC1, HCN1, ASIC4, SCN1A, ATP1B1, HCN3, ATP1A4, SCN1B, SLC20A1, SLC24A2, ATP1B3, SLC3A2, SCN4B, SCN3B, SLC6A17, HCN2, SLC4A9, SCN2A, KCNK1, SLC6A12, HCN4, PKD2L1, SCN8A, SLC8B1, SLC20A2, SCN9A, SLC17A7, SCN7A, SLC8A1, CNNM4, SLC4A11, SLC8A2, SLC24A4, SLC6A13, SLC6A6, SCN3A, CACNA1G, SLC24A3, SLC4A8, SLC6A15, PKD2, SCN2B, SLC6A8, SLC6A7",0.154129371034579,6.63407376277902e-05,0.0114461797246784,0,0
GO:0003281,"ventricular septum development",15,"PDE2A, LRP2, LMO4, HES1, CNTRL, AP2B1, PAX8, TRIP11, SUFU, LUZP1, HEG1, HECTD1, PRDM1, SMAD6, MATR3",0.099858936259699,6.92963665713808e-05,0.0114461797246784,0.00036,0.00289234828496042
