cDesc,cSize,cGenes,k_input_from_cGenes,k_present,k_missing,fraction_present,category_score_z,null_mean_score_z,p_one_sided,tail,p_corrected
mesenchymal cell apoptotic process,6,"MSX1, POU3F4, EDNRA, ETV6, PAX8, TBX1",6,6,0,1.0,0.19902215898036957,1.176836406102666e-18,0.0046995300469953,two-sided,0.5020180334907686
detection of chemical stimulus involved in sensory perception of smell,7,"OR2AK2, OR2L13, OR2L8, OR2L3, SLC24A4, OR14I1, CNGB1",7,7,0,1.0,0.19402074813842773,1.2323475573339238e-18,0.0029997000299970002,two-sided,0.5020180334907686
positive regulation of meiotic nuclear division,7,"NPM2, WNT5A, PLCB1, UBE2B, MSX1, SIRT2, WNT4",7,7,0,1.0,0.17695827782154083,-3.3639757646142244e-18,0.014098590140985901,two-sided,0.5020180334907686
T cell lineage commitment,7,"TOX, LOXL3, CTSL, BRAF, IL6R, STAT6, BCL2",7,7,0,1.0,0.16998624801635742,-1.8873791418627663e-18,0.0112988701129887,two-sided,0.5020180334907686
"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment",7,"TOX, BCL2, STAT6, CTSL, IL6R, BRAF, LOXL3",7,7,0,1.0,0.16998624801635742,-1.8873791418627663e-18,0.0112988701129887,two-sided,0.5020180334907686
positive regulation of voltage-gated calcium channel activity,6,"STAC2, CDK5, CACNB3, CACNB2, CACNA2D1, FGF14",6,6,0,1.0,0.169261172413826,2.0872192862952944e-18,0.0046995300469953,two-sided,0.5020180334907686
alpha-beta T cell lineage commitment,6,"STAT6, CTSL, LOXL3, TOX, BCL2, IL6R",6,6,0,1.0,0.16621653735637665,5.506706202140776e-18,0.0365963403659634,two-sided,0.5500787789701755
positive regulation of cardiac muscle cell differentiation,6,"EDN1, MEF2C, PIN1, EFNB2, AKAP6, IGF1",6,6,0,1.0,0.16408343613147736,-3.530509218307998e-18,0.04709529047095291,two-sided,0.5649027982577237
membrane disassembly,7,"PRKCA, NDEL1, CCNB1, NEK6, PAFAH1B1, PRKCB, CNEP1R1",7,7,0,1.0,0.16244687139987946,-2.886579864025407e-18,0.012098790120987902,two-sided,0.5020180334907686
nuclear envelope disassembly,7,"NEK6, PAFAH1B1, PRKCB, PRKCA, CCNB1, CNEP1R1, NDEL1",7,7,0,1.0,0.16244687139987946,-2.886579864025407e-18,0.012098790120987902,two-sided,0.5020180334907686
inactivation of MAPK activity,9,"DUSP3, RGS4, DUSP7, DUSP1, DUSP8, DUSP4, SPRED1, DUSP6, DUSP2",9,9,0,1.0,0.16185861825942993,2.6645352591003758e-18,0.0065993400659934,two-sided,0.5020180334907686
negative regulation of substrate adhesion-dependent cell spreading,6,"SPRY4, ACTN4, RCC2, ITGB1BP1, MELTF, EFNA5",6,6,0,1.0,0.16143947839736938,3.1086244689504383e-19,0.036996300369963,two-sided,0.5500787789701755
sleep,13,"CACNA1I, SLC29A1, FOS, KCNA2, STAR, DRD2, GRIN2A, BTBD9, HTR2A, CRH, OXTR, SRD5A1, ADORA1",13,13,0,1.0,0.15888813138008118,3.341771304121721e-18,0.0020997900209979003,two-sided,0.5020180334907686
cellular response to acidic pH,6,"RAB11B, IMPACT, RAB11FIP5, SLC9A1, PKD2L1, SLC38A3",6,6,0,1.0,0.15594692528247833,-2.3092638912203255e-18,0.0008999100089991,two-sided,0.5020180334907686
"regulation of circadian sleep/wake cycle, sleep",7,"ADRB1, CRH, KCNA2, DRD2, ADORA1, PER3, NMU",7,7,0,1.0,0.15583530068397522,2.242650509742816e-18,0.0066993300669933005,two-sided,0.5020180334907686
positive regulation of cellular respiration,8,"GHITM, ISCU, CCNB1, PINK1, PPARGC1A, OPN3, IFNLR1, PRELID1",8,8,0,1.0,0.15560296177864075,-5.10702591327572e-18,0.06929307069293071,two-sided,0.5895758749483904
